price,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,sold_year,sold_month
1535000,Kellyville Ridge,2,4,2,520,House,10468,51532,2.707,-33.70376,150.92052,72,0.1,220.1,32.23,2021.0,10.0
1900000,Pennant Hills,3,7,3,910,House,7287,43472,6.123,-33.73636,151.07741,168,0.1,220.1,18.83,2021.0,11.0
2550000,Elanora Heights,1,4,2,708,House,4357,44460,3.877,-33.70172,151.27318,105,0.1,220.1,19.05,2021.0,10.0
833000,Kincumber,2,4,2,648,House,7093,29432,9.914,-33.47252,151.40208,24,1.5,174.0,47.05,2017.0,9.0
436500,Bateau Bay,1,2,1,569,House,12146,30316,6.938,-33.38486,151.47128,31,1.5,167.6,58.53,2016.0,9.0
2625000,Homebush,3,6,3,696,House,7007,37908,2.503,-33.86058,151.07927,17,0.1,197.9,12.1,2021.0,5.0
1600000,Rockdale,2,5,3,736,House,15534,33852,2.477,-33.95426,151.1404,19,0.25,172.6,11.79,2020.0,10.0
3080000,Rodd Point,2,2,1,411,House,1376,44876,0.374,-33.86584,151.14375,10,0.1,210.1,6.12,2021.0,12.0
1475000,Mount Pritchard,3,6,2,1012,House,9955,24128,3.094,-33.90435,150.90114,46,0.75,169.6,28.89,2019.0,11.0
2600000,Killcare Heights,2,4,0,734,House,745,40716,2.146,-33.52256,151.37418,127,0.1,183.1,40.94,2021.0,2.0
2390000,Wahroonga,1,4,1,1701,House,17371,47424,9.766,-33.72353,151.11725,194,0.1,197.9,17.9,2021.0,3.0
2400000,Turramurra,2,4,2,923,House,11919,49920,6.001,-33.73444,151.12793,183,0.1,220.1,16.36,2021.0,11.0
1360000,Belmore,2,4,1,481,House,12718,26208,2.731,-33.91942,151.08774,32,1.5,174.2,12.8,2017.0,6.0
2200000,Church Point,3,4,5,1119,House,997,54132,0.721,-33.65154,151.28137,73,0.1,210.1,24.6,2021.0,6.0
1200000,Minto,3,5,4,4776,House,12551,29276,9.568,-34.03164,150.84989,71,1.5,171.9,38.06,2017.0,12.0
630000,Elderslie,2,3,1,731,House,6005,43160,5.041,-34.0577,150.71508,86,1.5,176.6,50.48,2017.0,4.0
404000,Blacktown,2,2,1,104,Apartment / Unit / Flat,47176,31980,16.057,-33.77655,150.90338,72,0.11,172.6,30.03,2020.0,11.0
520000,Leumeah,1,3,1,651,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,2016.0,1.0
